epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4105,1.35836,3.30689,1.59933,0.00333,1,0.21787,0.07609,1.44517,4.25572,1.82514,0.00044,0.00044,0.00044
2,16.1584,1.30689,2.74632,1.48165,0.00324,0.97059,0.33129,0.06974,2.13393,4.78671,2.60784,0.00089109,0.00089109,0.00089109
3,23.3063,1.30415,2.41393,1.49129,0.21619,0.35294,0.18468,0.05371,1.29276,4.04057,1.75816,0.00133307,0.00133307,0.00133307
4,29.4074,1.28443,2.35118,1.45649,0.31533,0.5,0.35587,0.11289,1.46289,4.03754,2.11149,0.00176595,0.00176595,0.00176595
5,38.4065,1.29122,2.1645,1.43118,0.33306,0.61765,0.39548,0.17362,1.53164,5.55568,1.96531,0.0019208,0.0019208,0.0019208
6,44.5216,1.25953,2.00429,1.44514,0.70572,0.76471,0.80175,0.47959,1.3928,3.31085,1.91887,0.001901,0.001901,0.001901
7,51.5119,1.24563,1.89941,1.43949,0.54286,0.82353,0.62683,0.33992,1.25577,3.70089,1.84462,0.0018812,0.0018812,0.0018812
8,57.3265,1.17982,1.72655,1.3838,0.87087,0.79344,0.86583,0.5881,1.3854,2.78307,1.92501,0.0018614,0.0018614,0.0018614
9,64.319,1.20945,1.69651,1.43406,0.9193,0.79412,0.88582,0.62745,1.43602,2.69513,1.89368,0.0018416,0.0018416,0.0018416
10,70.5536,1.17539,1.61406,1.39621,0.8824,0.66235,0.83631,0.58555,1.83003,3.32623,2.41542,0.0018218,0.0018218,0.0018218
11,78.6398,1.1628,1.54096,1.39451,0.94669,0.76471,0.90162,0.66897,1.56556,3.23689,1.91538,0.001802,0.001802,0.001802
12,84.8267,1.15459,1.46007,1.37182,0.84805,0.67647,0.83483,0.60551,1.27823,2.52603,1.64857,0.0017822,0.0017822,0.0017822
13,91.849,1.22178,1.47031,1.40555,0.90727,0.86351,0.97246,0.72651,1.19508,1.63047,1.56397,0.0017624,0.0017624,0.0017624
14,97.6963,1.13772,1.43704,1.34079,0.9664,0.84618,0.96294,0.73342,1.21006,1.39662,1.59449,0.0017426,0.0017426,0.0017426
15,105.133,1.18455,1.36257,1.3801,0.83238,0.73043,0.80619,0.52146,1.80878,1.9664,1.83359,0.0017228,0.0017228,0.0017228
16,111.125,1.00783,1.23002,1.23776,0.9285,0.97059,0.9833,0.75823,0.9711,1.74117,1.29803,0.001703,0.001703,0.001703
17,118.524,1.0999,1.39636,1.33536,0.733,0.82353,0.79468,0.51234,1.35389,2.00672,1.69873,0.0016832,0.0016832,0.0016832
18,124.584,1.03407,1.31363,1.29727,0.69778,0.97059,0.88399,0.64824,1.37729,2.04921,1.91571,0.0016634,0.0016634,0.0016634
19,131.685,1.02159,1.29566,1.24535,0.82019,0.93915,0.93766,0.72806,1.13863,1.88035,1.43634,0.0016436,0.0016436,0.0016436
20,137.955,1.01167,1.20047,1.23918,0.82749,0.84664,0.89449,0.66498,1.51255,1.42687,1.81372,0.0016238,0.0016238,0.0016238
21,144.861,1.02166,1.26876,1.25414,0.89066,0.95855,0.97773,0.78585,0.89989,1.25397,1.28012,0.001604,0.001604,0.001604
22,151.314,1.01447,1.24336,1.22679,0.95916,0.97059,0.99112,0.78595,1.15136,1.62733,1.42563,0.0015842,0.0015842,0.0015842
23,159.086,1.02224,1.24503,1.25345,0.932,0.97059,0.97119,0.79453,0.8389,1.76258,1.24745,0.0015644,0.0015644,0.0015644
24,165.487,0.95061,1.15779,1.20566,0.88464,0.88235,0.95804,0.77196,1.05395,1.06415,1.32117,0.0015446,0.0015446,0.0015446
25,172.569,0.98574,1.14502,1.24984,0.88802,1,0.98341,0.79447,0.88833,1.27594,1.26239,0.0015248,0.0015248,0.0015248
26,179.04,0.9344,1.04076,1.20263,0.87823,0.76471,0.88257,0.70592,0.71323,1.23996,1.11908,0.001505,0.001505,0.001505
27,186.023,0.91864,1.07151,1.18309,0.93667,0.85294,0.97079,0.79194,0.76435,1.42006,1.14312,0.0014852,0.0014852,0.0014852
28,192.385,0.87424,1.0104,1.1584,0.51538,0.67647,0.4673,0.2799,1.86764,1.82843,2.05815,0.0014654,0.0014654,0.0014654
29,199.085,0.97609,1.04765,1.23217,0.94254,0.97059,0.98943,0.8274,0.69617,0.68942,1.08001,0.0014456,0.0014456,0.0014456
30,205.502,0.85166,0.9688,1.16276,0.96984,0.97059,0.98142,0.80741,0.87857,1.03528,1.24572,0.0014258,0.0014258,0.0014258
31,212.497,0.89493,1.02769,1.1712,0.5868,0.70588,0.63759,0.36415,1.36531,1.92547,1.73511,0.001406,0.001406,0.001406
32,218.585,0.90256,1.03682,1.17596,0.96945,0.93354,0.97601,0.79199,0.83699,1.6946,1.18808,0.0013862,0.0013862,0.0013862
33,225.7,0.89946,0.95305,1.18757,0.56226,0.73529,0.60668,0.43802,2.02515,1.35332,2.28449,0.0013664,0.0013664,0.0013664
34,231.713,0.89475,0.96725,1.17179,0.75589,0.81975,0.87211,0.6838,1.48101,1.42777,2.01105,0.0013466,0.0013466,0.0013466
35,239.153,0.85844,0.91718,1.17667,0.79415,0.97059,0.90397,0.68174,1.53946,1.52159,1.98804,0.0013268,0.0013268,0.0013268
36,245.41,0.87628,0.93645,1.19337,0.87513,0.82457,0.91572,0.72361,0.75849,1.26795,1.12698,0.001307,0.001307,0.001307
37,252.741,0.83557,0.89355,1.14496,0.84663,0.97422,0.94536,0.75665,0.73295,0.85325,1.09676,0.0012872,0.0012872,0.0012872
38,259.015,0.87157,0.87842,1.20115,0.65901,0.82353,0.79161,0.59224,0.94902,1.92525,1.29583,0.0012674,0.0012674,0.0012674
39,266.431,0.86154,0.92376,1.16316,0.84289,0.85294,0.89819,0.73421,0.85727,1.58099,1.17667,0.0012476,0.0012476,0.0012476
40,272.583,0.83723,0.84838,1.14668,0.91409,1,0.98731,0.84206,0.70811,0.6333,1.07615,0.0012278,0.0012278,0.0012278
41,279.811,0.83544,0.83689,1.16572,0.88847,0.85294,0.94125,0.77759,1.3236,1.45207,1.57568,0.001208,0.001208,0.001208
42,285.873,0.80483,0.88975,1.13496,0.91489,0.97059,0.9823,0.83414,1.21636,1.28505,1.57334,0.0011882,0.0011882,0.0011882
43,293.179,0.86671,0.93954,1.15111,0.81771,0.92371,0.93411,0.73445,0.78433,1.97801,1.20491,0.0011684,0.0011684,0.0011684
44,299.215,0.87038,0.86072,1.15666,0.8713,0.99569,0.97896,0.7805,0.76046,1.64616,1.17977,0.0011486,0.0011486,0.0011486
45,306.562,0.79458,0.87983,1.12324,0.86269,0.85294,0.89309,0.72604,1.48016,1.07787,1.81856,0.0011288,0.0011288,0.0011288
46,312.524,0.82286,0.82582,1.14058,0.97463,0.85294,0.97698,0.78591,0.68713,1.59397,1.10597,0.001109,0.001109,0.001109
47,319.639,0.82355,0.80755,1.13622,0.87701,0.85294,0.88574,0.71806,1.55729,1.15482,1.7489,0.0010892,0.0010892,0.0010892
48,325.864,0.81869,0.82999,1.12854,0.97122,0.99271,0.991,0.81656,0.70397,0.76146,1.07209,0.0010694,0.0010694,0.0010694
49,332.765,0.75365,0.78132,1.09894,0.88564,0.91108,0.93529,0.74969,1.361,1.59196,1.61115,0.0010496,0.0010496,0.0010496
50,338.612,0.7497,0.75615,1.08908,0.93856,0.97059,0.98049,0.82539,0.8101,1.18454,1.17472,0.0010298,0.0010298,0.0010298
51,345.658,0.76156,0.80771,1.10729,0.63491,0.81848,0.61551,0.45461,1.42814,1.32016,1.74181,0.00101,0.00101,0.00101
52,351.965,0.74712,0.80557,1.10161,0.72833,0.86752,0.7877,0.6343,0.89975,1.58524,1.32383,0.0009902,0.0009902,0.0009902
53,358.763,0.73591,0.79106,1.09095,0.91188,0.94118,0.97199,0.82301,0.64462,1.11751,1.07059,0.0009704,0.0009704,0.0009704
54,364.798,0.73806,0.7379,1.0922,0.96254,1,0.98843,0.84827,0.83749,0.64307,1.15567,0.0009506,0.0009506,0.0009506
55,372.217,0.75512,0.77043,1.08566,1,0.92976,0.98919,0.85726,0.63093,0.71597,0.99924,0.0009308,0.0009308,0.0009308
56,378.281,0.77339,0.77286,1.09596,0.91221,0.91701,0.94233,0.82178,0.77711,1.37024,1.13679,0.000911,0.000911,0.000911
57,385.184,0.75826,0.74282,1.09087,0.95881,0.91176,0.96714,0.83633,0.68945,1.35467,1.06479,0.0008912,0.0008912,0.0008912
58,391.75,0.67351,0.69609,1.03331,0.99482,0.97059,0.99443,0.82854,1.17434,0.66229,1.52282,0.0008714,0.0008714,0.0008714
59,398.084,0.70747,0.68113,1.04325,0.88541,0.97059,0.96617,0.77751,1.05672,0.62804,1.39592,0.0008516,0.0008516,0.0008516
60,404.655,0.69847,0.64924,1.06672,0.96293,0.97059,0.98419,0.8747,0.58813,0.91958,0.9766,0.0008318,0.0008318,0.0008318
61,411.502,0.67173,0.6478,1.05311,0.9017,0.88235,0.94146,0.81067,0.96934,0.97415,1.35278,0.000812,0.000812,0.000812
62,417.946,0.71589,0.69713,1.06083,0.87154,0.94118,0.92499,0.79457,1.45717,0.58363,1.85731,0.0007922,0.0007922,0.0007922
63,424.584,0.69583,0.64897,1.05159,0.82764,0.91176,0.90021,0.77669,0.71882,1.4897,1.13042,0.0007724,0.0007724,0.0007724
64,431.135,0.7157,0.65017,1.07787,0.97083,0.97905,0.99443,0.85397,0.80254,1.25541,1.24918,0.0007526,0.0007526,0.0007526
65,437.83,0.69808,0.65079,1.08225,0.98692,0.97059,0.99389,0.85058,1.04786,0.96163,1.41861,0.0007328,0.0007328,0.0007328
66,444.404,0.69708,0.68543,1.06278,0.99722,1,0.995,0.86439,0.81572,0.77858,1.1455,0.000713,0.000713,0.000713
67,450.753,0.72445,0.73238,1.11103,0.96965,0.93973,0.98494,0.83582,0.9599,0.77297,1.28289,0.0006932,0.0006932,0.0006932
68,457.587,0.6541,0.60594,1.02703,0.97392,0.97059,0.99443,0.85651,0.61236,1.10575,0.99156,0.0006734,0.0006734,0.0006734
69,463.471,0.64389,0.59701,1.03627,0.89642,0.76362,0.89883,0.73741,0.67363,1.67215,1.02446,0.0006536,0.0006536,0.0006536
70,470.436,0.67277,0.59487,1.0574,0.96874,0.91153,0.95249,0.80327,1.17324,0.66284,1.50916,0.0006338,0.0006338,0.0006338
71,476.44,0.65422,0.59366,1.03531,0.96758,0.97059,0.96265,0.84364,1.10875,0.70253,1.49814,0.000614,0.000614,0.000614
72,483.82,0.66341,0.62282,1.05768,0.96224,0.97059,0.96394,0.84697,0.6302,1.28019,1.02671,0.0005942,0.0005942,0.0005942
73,490.015,0.60621,0.5972,1.00724,0.94364,0.97059,0.96688,0.83633,0.58753,1.20921,0.99404,0.0005744,0.0005744,0.0005744
74,497.274,0.65925,0.61006,1.04263,1,0.99249,0.995,0.84018,1.26416,0.46155,1.68137,0.0005546,0.0005546,0.0005546
