epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0742,1.55174,3.62901,1.78611,0.00333,1,0.50995,0.2225,1.46975,4.03169,1.58761,0.000606061,0.000606061,0.000606061
2,34.893,1.46392,3.12123,1.59371,0.00333,1,0.41934,0.18231,1.45336,4.23245,1.54866,0.00126013,0.00126013,0.00126013
3,37.8447,1.61177,2.92943,1.68972,0.00333,1,0.29991,0.11285,2.25676,4.60902,2.56675,0.00190099,0.00190099,0.00190099
4,41.3407,1.61058,2.85383,1.71958,0.02226,0.79412,0.17417,0.05483,2.18066,4.29461,2.71861,0.0019406,0.0019406,0.0019406
5,44.63,1.48729,2.74165,1.62843,0.00324,0.97059,0.00556,0.00187,2.10923,5.44267,2.46458,0.0019208,0.0019208,0.0019208
6,47.4218,1.52004,2.53855,1.621,0.00314,0.94118,0.004,0.00107,2.73857,4.93424,3.10242,0.001901,0.001901,0.001901
7,50.1828,1.40965,2.40408,1.49655,0.02381,0.26471,0.01528,0.00243,3.5189,109.649,5.90886,0.0018812,0.0018812,0.0018812
8,53.1447,1.33344,2.17906,1.458,0.00323,0.20588,0.00124,0.00016,4.36259,196.312,10.6401,0.0018614,0.0018614,0.0018614
9,57.0639,1.35835,2.11564,1.5133,0.00255,0.76471,0.00229,0.00056,2.17604,66.3167,2.56161,0.0018416,0.0018416,0.0018416
10,60.0183,1.28869,2.0687,1.46191,0.0076,0.52941,0.00772,0.00428,1.43498,53.2801,1.76194,0.0018218,0.0018218,0.0018218
11,63.9256,1.2141,1.95855,1.40439,0.02038,0.67647,0.01934,0.01118,1.35701,14.8787,1.68867,0.001802,0.001802,0.001802
12,67.2835,1.23728,1.98945,1.43564,0.5832,0.52941,0.54158,0.30538,1.94632,4.11163,2.22502,0.0017822,0.0017822,0.0017822
13,70.9394,1.23246,1.8564,1.41977,0.80621,0.7342,0.88352,0.49171,1.51043,3.921,1.75612,0.0017624,0.0017624,0.0017624
14,73.6965,1.19735,1.75344,1.40355,0.68495,0.61765,0.71368,0.43478,1.55381,5.24833,1.93871,0.0017426,0.0017426,0.0017426
15,76.3675,1.2453,1.72898,1.41944,0.74306,0.52941,0.62301,0.32302,1.6277,3.56825,1.90535,0.0017228,0.0017228,0.0017228
16,79.0866,1.21552,1.68427,1.41066,0.77053,0.61765,0.72019,0.45994,1.25105,2.56479,1.48035,0.001703,0.001703,0.001703
17,83.1199,1.23362,1.66018,1.4413,0.70507,0.7032,0.73839,0.4944,1.22899,3.02855,1.46228,0.0016832,0.0016832,0.0016832
18,85.84,1.2107,1.74661,1.4062,0.83797,0.85294,0.91539,0.54566,1.59841,1.83501,1.68054,0.0016634,0.0016634,0.0016634
19,88.6449,1.09129,1.53474,1.3266,0.79934,0.85294,0.91527,0.62952,1.12685,1.93016,1.37291,0.0016436,0.0016436,0.0016436
20,91.576,1.12757,1.61294,1.34454,0.87319,0.81032,0.94166,0.65492,1.40217,1.68716,1.6984,0.0016238,0.0016238,0.0016238
21,95.1768,1.24029,1.58482,1.41346,0.76804,0.87661,0.88619,0.47953,1.41159,1.68784,1.59348,0.001604,0.001604,0.001604
22,98.4932,1.15599,1.5415,1.3501,0.82527,0.83366,0.86828,0.66456,1.02753,1.99249,1.38994,0.0015842,0.0015842,0.0015842
23,101.518,1.11104,1.52628,1.37538,0.9877,0.97059,0.98546,0.78946,0.85334,1.45306,1.24988,0.0015644,0.0015644,0.0015644
24,104.511,1.06252,1.43676,1.34432,0.80752,0.98729,0.94756,0.73905,0.99883,1.55201,1.42702,0.0015446,0.0015446,0.0015446
25,107.768,1.16063,1.53362,1.38458,0.9348,0.84363,0.95411,0.68031,1.10293,2.11626,1.38056,0.0015248,0.0015248,0.0015248
26,111.239,1.15987,1.56204,1.34374,0.81048,0.88049,0.92124,0.64758,1.02108,1.97291,1.37101,0.001505,0.001505,0.001505
27,114.077,1.05364,1.42636,1.29101,0.94971,0.82353,0.96642,0.70617,1.10086,1.81364,1.38003,0.0014852,0.0014852,0.0014852
28,116.893,1.04268,1.42733,1.29383,0.75951,0.85294,0.85907,0.54911,1.73533,2.20889,2.00719,0.0014654,0.0014654,0.0014654
29,119.731,1.03644,1.33203,1.30402,0.88265,0.88491,0.95596,0.70916,1.75217,1.77354,2.17534,0.0014456,0.0014456,0.0014456
30,123.675,1.03042,1.32612,1.32698,0.96827,0.97059,0.99301,0.78001,1.00545,1.31313,1.3004,0.0014258,0.0014258,0.0014258
31,126.559,0.99866,1.22129,1.28633,0.8278,0.88235,0.921,0.7192,1.1355,1.51618,1.4138,0.001406,0.001406,0.001406
32,129.375,0.95564,1.28225,1.27425,0.81487,0.85294,0.93327,0.70661,1.02314,1.59531,1.45956,0.0013862,0.0013862,0.0013862
33,132.107,0.96703,1.26055,1.24605,0.79175,0.88235,0.91623,0.7227,1.22931,1.94372,1.57571,0.0013664,0.0013664,0.0013664
34,135.819,0.95868,1.29708,1.22256,0.82565,0.73529,0.8369,0.60386,1.51991,2.00089,1.7617,0.0013466,0.0013466,0.0013466
35,138.988,0.98884,1.2515,1.24973,0.71696,0.94118,0.93533,0.74756,0.92354,1.71752,1.25747,0.0013268,0.0013268,0.0013268
36,141.379,0.91903,1.14705,1.18553,0.91635,0.96673,0.97279,0.7326,0.86909,1.37247,1.23431,0.001307,0.001307,0.001307
