Carimbo de data/hora,Coordenadas da Bounding Box,Nome do Bairro
05/09/2026 22:42:36,"19°57'47""S 43°57'20""W",São Bento
05/09/2026 22:42:39,"19°58'22""S 43°56'6""W",Belvedere
05/09/2026 22:42:44,"19°57'11""S 43°54'43""W",Mangabeiras
05/09/2026 22:43:01,"30°11'21""S 51°10'56""W",Ponta Grossa
05/09/2026 22:43:18,"25°52'50""S 48°36'43""W",Mirim
05/09/2026 22:43:36,"12°54'30""S 38°19'20""W",Aeroporto
05/09/2026 22:43:41,"12°57'45""S 38°26'8""W",Centro Administrativo da Bahia
05/09/2026 22:43:56,"12°59'2""S 38°27'12""W",Caminho das Árvores
05/09/2026 22:44:18,"3°43'51""S 38°30'56""W",Centro
05/09/2026 22:44:40,"16°41'49""S 49°15'20""W",Setor Sul
05/09/2026 22:44:45,"16°42'15""S 49°15'29""W",Setor Marista
05/09/2026 22:45:21,"8°5'22""S 34°52'54""W",Brasília Teimosa
05/09/2026 22:45:27,"8°3'43""S 34°57'50""W",UR-07
05/09/2026 22:46:21,"16°35'17""S 54°43'18""W",Rondonópolis
05/09/2026 22:46:44,"21°30'6""S 53°58'5""W",Anhanduí
