Carimbo de data/hora,Coordenadas da Bounding Box,Nome do Bairro
13/07/2026 20:05:34,-43.163000	-22.910500	-43.162000	-22.909500,Centro
13/07/2026 20:06:39,-38.520778	-13.009667	-38.519778	-13.008667,Barra
13/07/2026 20:07:01,-38.471889	-3.825778	-38.470889	-3.824778,Lagoa Redonda
05/09/2026 00:39:32,-43.394389	-22.982722	-43.393389	-22.981722,Barra Olímpica
05/09/2026 00:39:36,-43.198556	-22.947167	-43.197556	-22.946167,Santa Teresa
05/09/2026 00:39:40,-43.241056	-22.880222	-43.240056	-22.879222,Manguinhos
05/09/2026 00:39:58,-43.965500	-19.986056	-43.964500	-19.985056,Vila Olhos d'Água
05/09/2026 00:40:19,-51.541056	-29.148000	-51.540056	-29.147000,São João
05/09/2026 00:40:24,-52.517167	-28.251056	-52.516167	-28.250056,Passo Fundo
05/09/2026 00:40:44,-49.315778	-25.431333	-49.314778	-25.430333,Santo Inácio
05/09/2026 00:40:49,-49.228278	-25.376333	-49.227278	-25.375333,Santa Cândida
05/09/2026 00:41:34,-38.499667	-3.737444	-38.498667	-3.736444,Aldeota
05/09/2026 00:41:38,-38.542444	-3.720500	-38.541444	-3.719500,Jacarecanga
05/09/2026 00:41:58,-49.236056	-16.709667	-49.235056	-16.708667,Jardim Goiás
05/09/2026 00:42:03,-49.249389	-16.655500	-49.248389	-16.654500,Osvaldo Rosa
05/09/2026 00:42:21,-48.528833	-27.614667	-48.527833	-27.613667,Saco dos Limões
05/09/2026 00:42:26,-48.543278	-27.588278	-48.542278	-27.587278,Centro
05/09/2026 00:42:30,-48.532167	-27.573556	-48.531167	-27.572556,Agronômica
05/09/2026 00:42:35,-48.651056	-26.878833	-48.650056	-26.877833,Centro
05/09/2026 00:43:10,-47.558556	-16.014667	-47.557556	-16.013667,PAD-DF
05/09/2026 00:43:37,-48.468833	-1.438278	-48.467833	-1.437278,Marco
05/09/2026 00:43:57,-41.186889	-20.835778	-41.185889	-20.834778,Aeroporto
05/09/2026 00:44:17,-55.956056	-15.680778	-55.955056	-15.679778,Distrito Industrial
05/09/2026 00:44:22,-56.767722	-14.484111	-56.766722	-14.483111,SWNR
05/09/2026 00:44:40,-54.715778	-20.571889	-54.714778	-20.570889,Recreio Itaim
05/09/2026 00:44:45,-53.617444	-21.487444	-53.616444	-21.486444,Anhanduí
05/09/2026 00:44:48,-54.524944	-20.506056	-54.523944	-20.505056,Campo Grande
05/09/2026 00:44:53,-54.095500	-20.852444	-54.094500	-20.851444,Anhanduí
