Carimbo de data/hora,Coordenadas da Bounding Box,Nome do Bairro,Estado
13/07/2026 20:05:34,-43.163000	-22.910500	-43.162000	-22.909500,Centro,Rio de Janeiro
13/07/2026 20:06:39,-38.520778	-13.009667	-38.519778	-13.008667,Barra,Bahia
13/07/2026 20:07:01,-38.471889	-3.825778	-38.470889	-3.824778,Lagoa Redonda,Ceará
05/09/2026 00:39:32,-43.394389	-22.982722	-43.393389	-22.981722,Barra Olímpica,Rio de Janeiro
05/09/2026 00:39:36,-43.198556	-22.947167	-43.197556	-22.946167,Santa Teresa,Rio de Janeiro
05/09/2026 00:39:40,-43.241056	-22.880222	-43.240056	-22.879222,Manguinhos,Rio de Janeiro
05/09/2026 00:39:58,-43.965500	-19.986056	-43.964500	-19.985056,Vila Olhos d'Água,Minas Gerais
05/09/2026 00:40:19,-51.541056	-29.148000	-51.540056	-29.147000,São João,Rio Grande do Sul
05/09/2026 00:40:24,-52.517167	-28.251056	-52.516167	-28.250056,Passo Fundo,Rio Grande do Sul
05/09/2026 00:40:44,-49.315778	-25.431333	-49.314778	-25.430333,Santo Inácio,Paraná
05/09/2026 00:40:49,-49.228278	-25.376333	-49.227278	-25.375333,Santa Cândida,Paraná
05/09/2026 00:41:34,-38.499667	-3.737444	-38.498667	-3.736444,Aldeota,Ceará
05/09/2026 00:41:38,-38.542444	-3.720500	-38.541444	-3.719500,Jacarecanga,Ceará
05/09/2026 00:41:58,-49.236056	-16.709667	-49.235056	-16.708667,Jardim Goiás,Goiás
05/09/2026 00:42:03,-49.249389	-16.655500	-49.248389	-16.654500,Osvaldo Rosa,Goiás
05/09/2026 00:42:21,-48.528833	-27.614667	-48.527833	-27.613667,Saco dos Limões,Santa Catarina
05/09/2026 00:42:26,-48.543278	-27.588278	-48.542278	-27.587278,Centro,Santa Catarina
05/09/2026 00:42:30,-48.532167	-27.573556	-48.531167	-27.572556,Agronômica,Santa Catarina
05/09/2026 00:42:35,-48.651056	-26.878833	-48.650056	-26.877833,Centro,Santa Catarina
05/09/2026 00:43:10,-47.558556	-16.014667	-47.557556	-16.013667,PAD-DF,Distrito Federal
05/09/2026 00:43:37,-48.468833	-1.438278	-48.467833	-1.437278,Marco,Pará
05/09/2026 00:43:57,-41.186889	-20.835778	-41.185889	-20.834778,Aeroporto,Espírito Santo
05/09/2026 00:44:17,-55.956056	-15.680778	-55.955056	-15.679778,Distrito Industrial,Mato Grosso
05/09/2026 00:44:22,-56.767722	-14.484111	-56.766722	-14.483111,SWNR,Mato Grosso
05/09/2026 00:44:40,-54.715778	-20.571889	-54.714778	-20.570889,Recreio Itaim,Mato Grosso do Sul
05/09/2026 00:44:45,-53.617444	-21.487444	-53.616444	-21.486444,Anhanduí,Mato Grosso do Sul
05/09/2026 00:44:48,-54.524944	-20.506056	-54.523944	-20.505056,Campo Grande,Mato Grosso do Sul
05/09/2026 00:44:53,-54.095500	-20.852444	-54.094500	-20.851444,Anhanduí,Mato Grosso do Sul
05/09/2026 22:08:23,-43.464667	-23.008278	-43.463667	-23.007278,Recreio dos Bandeirantes,Rio de Janeiro
05/09/2026 22:08:28,-43.374667	-22.933000	-43.373667	-22.932000,Taquara,Rio de Janeiro
05/09/2026 22:09:04,-51.568278	-28.936056	-51.567278	-28.935056,Santa Rita,Rio Grande do Sul
05/09/2026 22:09:09,-51.163278	-30.028556	-51.162278	-30.027556,Chácara das Pedras,Rio Grande do Sul
05/09/2026 22:09:14,-52.272167	-27.663556	-52.271167	-27.662556,Aeroporto,Rio Grande do Sul
05/09/2026 22:09:17,-51.204389	-30.028278	-51.203389	-30.027278,Moinhos de Vento,Rio Grande do Sul
05/09/2026 22:09:36,-49.303833	-25.558556	-49.302833	-25.557556,Tatuquara,Paraná
05/09/2026 22:09:40,-49.332444	-25.508556	-49.331444	-25.507556,Cidade Industrial de Curitiba,Paraná
05/09/2026 22:09:46,-48.612444	-25.881056	-48.611444	-25.880056,Mirim,Paraná
05/09/2026 22:10:07,-38.448556	-12.989667	-38.447556	-12.988667,Costa Azul,Bahia
05/09/2026 22:11:34,-49.138556	-5.368556	-49.137556	-5.367556,Marabá,Pará
05/09/2026 22:11:42,-51.050222	-6.763556	-51.049222	-6.762556,Ourilândia do Norte,Pará
05/09/2026 22:11:59,-40.411333	-19.937722	-40.410333	-19.936722,Cocal,Espírito Santo
05/09/2026 22:12:05,-40.101056	-19.826889	-40.100056	-19.825889,Barra do Riacho,Espírito Santo
05/09/2026 22:12:24,-52.389389	-15.861889	-52.388389	-15.860889,Barra do Garças,Mato Grosso
05/09/2026 22:12:31,-55.990500	-15.643556	-55.989500	-15.642556,Pascoal Ramos,Mato Grosso
05/09/2026 22:12:35,-55.692167	-15.554667	-55.691167	-15.553667,Cuiabá,Mato Grosso
05/09/2026 22:12:41,-56.401056	-14.377167	-56.400056	-14.376167,Diamantino,Mato Grosso
05/09/2026 22:12:44,-50.689667	-11.633000	-50.688667	-11.632000,São Félix do Araguaia,Mato Grosso
05/09/2026 22:13:05,-54.670778	-20.469667	-54.669778	-20.468667,Taveirópolis,Mato Grosso do Sul
05/09/2026 22:13:21,-54.071056	-20.972167	-54.070056	-20.971167,Anhanduí,Mato Grosso do Sul
05/09/2026 22:33:25,-43.547444	-22.994667	-43.546444	-22.993667,Ilha de Guaratiba,Rio de Janeiro
05/09/2026 22:33:44,-43.989667	-19.909667	-43.988667	-19.908667,Padre Eustáquio,Minas Gerais
05/09/2026 22:33:48,-43.931889	-19.926333	-43.930889	-19.925333,Santa Efigênia,Minas Gerais
05/09/2026 22:34:30,-38.644389	-12.763556	-38.643389	-12.762556,Ilha de Bom Jesus dos Passos,Bahia
05/09/2026 22:35:03,-49.221333	-16.633000	-49.220333	-16.632000,Vila Maria Rosa,Goiás
05/09/2026 22:35:33,-36.471889	-8.834667	-36.470889	-8.833667,São Pedro,Pernambuco
05/09/2026 22:36:57,-50.003556	-6.118278	-50.002556	-6.117278,Parauapebas,Pará
05/09/2026 22:37:28,-41.083278	-20.399944	-41.082278	-20.398944,Venda Nova do Imigrante,Espírito Santo
05/09/2026 22:38:04,-54.448278	-20.762167	-54.447278	-20.761167,Campo Grande,Mato Grosso do Sul
05/09/2026 22:38:10,-53.883833	-21.288556	-53.882833	-21.287556,Anhanduí,Mato Grosso do Sul
05/09/2026 22:42:36,-43.956056	-19.963556	-43.955056	-19.962556,São Bento,Minas Gerais
