Carimbo de data/hora,Coordenadas da Bounding Box,Nome do Bairro
05/09/2026 00:39:32,"22°58'56""S 43°23'38""W",Barra Olímpica
05/09/2026 00:39:36,"22°56'48""S 43°11'53""W",Santa Teresa
05/09/2026 00:39:40,"22°52'47""S 43°14'26""W",Manguinhos
05/09/2026 00:39:58,"19°59'8""S 43°57'54""W",Vila Olhos d'Água
05/09/2026 00:40:19,"29°8'51""S 51°32'26""W",São João
05/09/2026 00:40:24,"28°15'2""S 52°31'0""W",Passo Fundo
05/09/2026 00:40:44,"25°25'51""S 49°18'55""W",Santo Inácio
05/09/2026 00:40:49,"25°22'33""S 49°13'40""W",Santa Cândida
05/09/2026 00:41:34,"3°44'13""S 38°29'57""W",Aldeota
05/09/2026 00:41:38,"3°43'12""S 38°32'31""W",Jacarecanga
05/09/2026 00:41:58,"16°42'33""S 49°14'8""W",Jardim Goiás
05/09/2026 00:42:03,"16°39'18""S 49°14'56""W",Osvaldo Rosa
05/09/2026 00:42:21,"27°36'51""S 48°31'42""W",Saco dos Limões
05/09/2026 00:42:26,"27°35'16""S 48°32'34""W",Centro
05/09/2026 00:42:30,"27°34'23""S 48°31'54""W",Agronômica
05/09/2026 00:42:35,"26°52'42""S 48°39'2""W",Centro
05/09/2026 00:43:10,"16°0'51""S 47°33'29""W",PAD-DF
05/09/2026 00:43:37,"1°26'16""S 48°28'6""W",Marco
05/09/2026 00:43:57,"20°50'7""S 41°11'11""W",Aeroporto
05/09/2026 00:44:17,"15°40'49""S 55°57'20""W",Distrito Industrial
05/09/2026 00:44:22,"14°29'1""S 56°46'2""W",SWNR
05/09/2026 00:44:40,"20°34'17""S 54°42'55""W",Recreio Itaim
05/09/2026 00:44:45,"21°29'13""S 53°37'1""W",Anhanduí
05/09/2026 00:44:48,"20°30'20""S 54°31'28""W",Campo Grande
05/09/2026 00:44:53,"20°51'7""S 54°5'42""W",Anhanduí
